DMS_id,Uniprot_Name,Uniprot_ID,uniprotkb,protein_length
FKBP3_HUMAN_Tsuboyama_2023_2KFV,FKBP3_HUMAN,Q00688,True,224
OXDA_RHOTO_Vanella_2023_expression,OXDA_RHOTO,P80324,True,368
CAS9_STRP1_Spencer_2017_positive,CAS9_STRP1,Q99ZW2,True,1368
LGK_LIPST_Klesmith_2015,LGK_LIPST,B3VI55,True,439
ILF3_HUMAN_Tsuboyama_2023_2L33,ILF3_HUMAN,Q12906,True,894
SERC_HUMAN_Xie_2023,SERC_HUMAN,Q9Y617,True,370
MAFG_MOUSE_Tsuboyama_2023_1K1V,MAFG_MOUSE,O54790,True,162
RAD_ANTMA_Tsuboyama_2023_2CJJ,RAD_ANTMA,Q58FS3,True,93
ERBB2_HUMAN_Elazar_2016,ERBB2_HUMAN,P04626,True,1255
HSP82_YEAST_Cote-Hammarlof_2020_growth-H2O2,HSP82_YEAST,P02829,True,709
PAI1_HUMAN_Huttinger_2021,PAI1_HUMAN,P05121,True,402
A4GRB6_PSEAI_Chen_2020,A4GRB6_PSEAI,A4GRB6,False,266
MBD11_ARATH_Tsuboyama_2023_6ACV,MBD11_ARATH,Q9LW00,True,254
VG08_BPP22_Tsuboyama_2023_2GP8,VG08_BPP22,P26748,True,303
A0A247D711_LISMN_Stadelmann_2021,A0A247D711_LISMN,A0A247D711,False,87
SAV1_MOUSE_Tsuboyama_2023_2YSB,SAV1_MOUSE,Q8VEB2,True,386
SOX30_HUMAN_Tsuboyama_2023_7JJK,SOX30_HUMAN,O94993,True,753
RASK_HUMAN_Weng_2022_binding-DARPin_K55,RASK_HUMAN,P01116,True,189
PR40A_HUMAN_Tsuboyama_2023_1UZC,PR40A_HUMAN,O75400,True,957
SRBS1_HUMAN_Tsuboyama_2023_2O2W,SRBS1_HUMAN,Q9BX66,True,1292
RPC1_LAMBD_Li_2019_low-expression,RPC1_LAMBD,P03034,True,237
DLG4_RAT_McLaughlin_2012,DLG4_RAT,P31016,True,724
P53_HUMAN_Giacomelli_2018_WT_Nutlin,P53_HUMAN,P04637,True,393
Q837P4_ENTFA_Meier_2023,Q837P4_ENTFA,Q837P4,False,589
CCR5_HUMAN_Gill_2023,CCR5_HUMAN,P51681,True,352
MYO3_YEAST_Tsuboyama_2023_2BTT,MYO3_YEAST,P36006,True,1272
SYUA_HUMAN_Newberry_2020,SYUA_HUMAN,P37840,True,140
A0A140D2T1_ZIKV_Sourisseau_2019,A0A140D2T1_ZIKV,A0A140D2T1,False,3423
RCRO_LAMBD_Tsuboyama_2023_1ORC,RCRO_LAMBD,P03040,True,66
NPC1_HUMAN_Erwood_2022_RPE1,NPC1_HUMAN,O15118,True,1278
SDA_BACSU_Tsuboyama_2023_1PV0,SDA_BACSU,Q7WY62,True,52
RNC_ECOLI_Weeks_2023,RNC_ECOLI,P0A7Y0,True,226
ISDH_STAAW_Tsuboyama_2023_2LHR,ISDH_STAAW,Q8NW39,True,895
RBP1_HUMAN_Tsuboyama_2023_2KWH,RBP1_HUMAN,Q15311,True,655
DNJA1_HUMAN_Tsuboyama_2023_2LO1,DNJA1_HUMAN,P31689,True,397
MTH3_HAEAE_RockahShmuel_2015,MTH3_HAEAE,P20589,True,330
KCNE1_HUMAN_Muhammad_2023_expression,KCNE1_HUMAN,P15382,True,129
THO1_YEAST_Tsuboyama_2023_2WQG,THO1_YEAST,P40040,True,218
F7YBW7_MESOW_Ding_2023,F7YBW7_MESOW,F7YBW7,False,103
REV_HV1H2_Fernandes_2016,REV_HV1H2,P04618,True,116
ENV_HV1B9_DuenasDecamp_2016,ENV_HV1B9,Q73372,True,853
GLPA_HUMAN_Elazar_2016,GLPA_HUMAN,P02724,True,150
VKOR1_HUMAN_Chiasson_2020_abundance,VKOR1_HUMAN,Q9BQB6,True,163
RL40A_YEAST_Mavor_2016,RL40A_YEAST,P0CH08,True,128
CBX4_HUMAN_Tsuboyama_2023_2K28,CBX4_HUMAN,O00257,True,560
OBSCN_HUMAN_Tsuboyama_2023_1V1C,OBSCN_HUMAN,Q5VST9,True,7968
SPG1_STRSG_Olson_2014,SPG1_STRSG,P06654,True,448
CAR11_HUMAN_Meitlis_2020_lof,CAR11_HUMAN,Q9BXL7,True,1154
CCDB_ECOLI_Adkar_2012,CCDB_ECOLI,P62554,True,101
AMIE_PSEAE_Wrenbeck_2017,AMIE_PSEAE,P11436,True,346
TRPC_SACS2_Chan_2017,TRPC_SACS2,Q06121,True,248
NPC1_HUMAN_Erwood_2022_HEK293T,NPC1_HUMAN,O15118,True,1278
CCDB_ECOLI_Tripathi_2016,CCDB_ECOLI,P62554,True,101
HSP82_YEAST_Mishra_2016,HSP82_YEAST,P02829,True,709
PTEN_HUMAN_Mighell_2018,PTEN_HUMAN,P60484,True,403
PITX2_HUMAN_Tsuboyama_2023_2L7M,PITX2_HUMAN,Q99697,True,317
SPA_STAAU_Tsuboyama_2023_1LP1,SPA_STAAU,P38507,True,508
DYR_ECOLI_Thompson_2019,DYR_ECOLI,P0ABQ4,True,159
UBE4B_HUMAN_Tsuboyama_2023_3L1X,UBE4B_HUMAN,O95155,True,1302
CP2C9_HUMAN_Amorosi_2021_abundance,CP2C9_HUMAN,P11712,True,490
F7YBW8_MESOW_Aakre_2015,F7YBW8_MESOW,F7YBW8,False,93
MSH2_HUMAN_Jia_2020,MSH2_HUMAN,P43246,True,934
BRCA2_HUMAN_Erwood_2022_HEK293T,BRCA2_HUMAN,P51587,True,3418
PA_I34A1_Wu_2015,PA_I34A1,P03433,True,716
OPSD_HUMAN_Wan_2019,OPSD_HUMAN,P08100,True,348
SQSTM_MOUSE_Tsuboyama_2023_2RRU,SQSTM_MOUSE,Q64337,True,442
HXK4_HUMAN_Gersing_2023_abundance,HXK4_HUMAN,P35557,True,465
Q2N0S5_9HIV1_Haddox_2018,Q2N0S5_9HIV1,Q2N0S5,False,860
P53_HUMAN_Giacomelli_2018_Null_Etoposide,P53_HUMAN,P04637,True,393
A0A2Z5U3Z0_9INFA_Doud_2016,A0A2Z5U3Z0_9INFA,A0A2Z5U3Z0,False,565
MLAC_ECOLI_MacRae_2023,MLAC_ECOLI,P0ADV7,True,211
S22A1_HUMAN_Yee_2023_abundance,S22A1_HUMAN,O15245,True,554
I6TAH8_I68A0_Doud_2015,I6TAH8_I68A0,I6TAH8,False,498
BLAT_ECOLX_Deng_2012,BLAT_ECOLX,P62593,True,286
RPC1_BP434_Tsuboyama_2023_1R69,RPC1_BP434,P16117,True,95
MTHR_HUMAN_Weile_2021,MTHR_HUMAN,P42898,True,656
P84126_THETH_Chan_2017,P84126_THETH,P84126,False,254
MK01_HUMAN_Brenan_2016,MK01_HUMAN,P28482,True,360
C6KNH7_9INFA_Lee_2018,C6KNH7_9INFA,C6KNH7,False,566
GRB2_HUMAN_Faure_2021,GRB2_HUMAN,P62993,True,217
SRC_HUMAN_Chakraborty_2023_binding-DAS_25uM,SRC_HUMAN,P12931,True,536
LYAM1_HUMAN_Elazar_2016,LYAM1_HUMAN,P14151,True,372
NKX31_HUMAN_Tsuboyama_2023_2L9R,NKX31_HUMAN,Q99801,True,234
TCRG1_MOUSE_Tsuboyama_2023_1E0L,TCRG1_MOUSE,Q8CGF7,True,1100
YAP1_HUMAN_Araya_2012,YAP1_HUMAN,P46937,True,504
PHOT_CHLRE_Chen_2023,PHOT_CHLRE,Q8LPD9,True,749
Q837P5_ENTFA_Meier_2023,Q837P5_ENTFA,Q837P5,False,571
B2L11_HUMAN_Dutta_2010_binding-Mcl-1,B2L11_HUMAN,O43521,True,198
UBR5_HUMAN_Tsuboyama_2023_1I2T,UBR5_HUMAN,O95071,True,2799
KCNE1_HUMAN_Muhammad_2023_function,KCNE1_HUMAN,P15382,True,129
NUD15_HUMAN_Suiter_2020,NUD15_HUMAN,Q9NV35,True,164
GAL4_YEAST_Kitzman_2015,GAL4_YEAST,P04386,True,881
RASH_HUMAN_Bandaru_2017,RASH_HUMAN,P01112,True,189
TPK1_HUMAN_Weile_2017,TPK1_HUMAN,Q9H3S4,True,243
UBC9_HUMAN_Weile_2017,UBC9_HUMAN,P63279,True,158
CATR_CHLRE_Tsuboyama_2023_2AMI,CATR_CHLRE,P05434,True,169
PABP_YEAST_Melamed_2013,PABP_YEAST,P04147,True,577
S22A1_HUMAN_Yee_2023_activity,S22A1_HUMAN,O15245,True,554
D7PM05_CLYGR_Somermeyer_2022,D7PM05_CLYGR,D7PM05,False,235
OXDA_RHOTO_Vanella_2023_activity,OXDA_RHOTO,P80324,True,368
SPIKE_SARS2_Starr_2020_expression,SPIKE_SARS2,P0DTC2,True,1273
ARGR_ECOLI_Tsuboyama_2023_1AOY,ARGR_ECOLI,P0A6D0,True,156
Q8WTC7_9CNID_Somermeyer_2022,Q8WTC7_9CNID,Q8WTC7,False,238
ODP2_GEOSE_Tsuboyama_2023_1W4G,ODP2_GEOSE,P11961,True,428
GCN4_YEAST_Staller_2018,GCN4_YEAST,P03069,True,281
SCN5A_HUMAN_Glazer_2019,SCN5A_HUMAN,Q14524,True,2016
